Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
5.780476413;59.79435387;12.99794665;39.20143318;2566.887026;2331.26884;11.35098829;1.89301E+11;20.69210324;11.18554227;19
0.793258844;56.88251381;16.74427016;83.209275;1268.249208;1101.960838;11.45966742;1.33388E+12;33.95162693;7.040365435;52
3.098611966;51.24070457;15.29014815;86.75713599;2979.004826;2261.247309;9.589178147;5.20695E+11;31.11476656;8.274752432;37
0;83.81230362;23.36040099;100;902.1244135;905.1316534;15.21447169;36976859034;18.50505362;11.63730368;21
3.09232067;56.22262413;3.241494141;85.53280051;8947.741553;8002.972178;11.91696385;8.84929E+11;22.12647405;3.947662895;163
4.645014926;87.80764002;26.74885451;85.95291582;2168.570638;1891.335297;8.649947944;2.77317E+11;21.11545461;0.686098874;8
0;56.27657939;3.793229423;114.4855564;7772.388756;7576.140467;11.94829642;25668635600;28.9715539;6.470959912;237
0;62.78148539;10.24980165;80.83937348;3977.551573;3626.818637;9.13708153;21277002587;18.53228185;3.647964919;25
0.570662586;57.54803936;7.403906656;103.1897429;4729.734662;4196.311627;11.466356;1.13308E+11;22.1386316;2.063698334;60
7.148009186;38.8842839;4.084448697;51.73952619;10219.89424;8562.813277;20.78659666;1.1829E+12;21.9951347;1.970612603;112
9.919233275;50.10234801;2.854088473;85.3305622;18883.20632;16113.14371;22.18699496;4.37737E+11;25.75650242;-15.71323043;142
1.505928059;52.83487162;2.713427607;94.02824608;7216.679407;5862.797108;19.86448015;2.89309E+11;21.51154236;7.504520796;887
0.612389738;49.47790868;17.95584091;100;4094.350334;4094.350334;11.15738249;11807221086;28.42844784;4.493106682;27
2.307663309;56.81596915;7.132167451;247.8243464;10385.96443;10385.96443;15.16371789;4.0908E+11;16.64146616;20.91512427;208
1.166388326;46.29330005;4.115756488;100;11286.2429;11286.2429;19.01685784;2.14064E+12;20.53467365;8.423338328;318
4.718123213;51.18287185;6.324853876;84.98932283;6336.709474;6336.709474;13.76024703;2.76075E+11;22.0429732;3.804860291;144
0;46.21835533;6.485189408;75.37958871;8227.127494;8227.127494;16.62071064;36449992582;19.45640929;6.628844862;158
3.535396929;86.8442983;24.52942756;62.10258825;1213.113;1213.113;12.17758809;23995589514;12.31653644;5.38642329;19
6.204526306;58.81326522;9.733118078;123.148137;4633.591284;4633.591284;13.19965288;68518395400;24.6248273;7.46507997;89
6.295273095;59.614701;13.34075916;43.16346897;2645.968759;2645.968759;11.1636002;2.14619E+11;19.2132604;10.10686463;19
0.949198538;55.98626009;17.02650901;91.96790896;1357.563727;1357.563727;11.00760787;1.65766E+12;33.23001466;10.52603086;61
3.24547839;51.03599149;13.92921271;100;3122.362673;3122.362673;9.005914993;7.34988E+11;30.99940883;15.26429366;51
0;83.06198889;24.82621749;102.0916757;951.68778;951.68778;14.16902915;39852460837;20.3716868;2.091675657;23
3.563642316;55.40225386;3.219154476;89.42039574;9271.398396;9271.398396;11.77136331;1.04522E+12;21.58270056;4.545151338;179
7.0874814;87.87658552;23.89370409;100;2280.437337;2280.437337;8.848100208;3.42044E+11;16.81501324;16.34276633;8
0;55.98479158;3.613074595;117.451129;8082.019584;8082.019584;12.61230354;27129000000;29.61348899;2.590346499;252
0;61.70063156;13.320778;84.60301331;4359.428415;4359.428415;9.061375267;25927250691;21.29161343;4.655701383;30
0.726585955;57.0124509;6.827997236;109.0826291;5082.353706;5082.353706;10.52583592;1.36693E+11;23.51337863;5.710728594;80
7.680296635;38.95382931;3.343898249;59.08193904;10674.99578;10674.99578;18.72505542;1.47781E+12;21.62538431;14.19110957;127
12.70831078;48.52857874;2.64027636;100.0000149;19262.5476;19262.5476;20.20281246;5.35251E+11;24.43087387;17.19132316;151
2.103787923;52.49193787;2.387372914;100.000016;7328.6152;7328.6152;20.22963791;3.67345E+11;19.26598956;6.351038347;945
