Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.529572477;0.435495078;0.101537476;0.016394377;0.518144243;0.460919679;0.594283468;0.56778287;0.548587343;0.355839676;0.152195122
1;0.577319413;0.062677373;0.032710915;0.92679869;0.795380155;0.590073211;0.186040017;0.561219757;0.349444864;0.106341463
0.264813921;0.591735997;0.077356379;0.028260452;0.347309757;0.228208525;0.621858563;0.097714252;0.578632706;0.174457939;0.823414634
0.007789314;0.556565695;0.454331127;0.03092145;0.183580159;0.162977538;0.370271503;0.004168388;0.804993283;0.047857032;0.027317073
0.133269584;0.635927668;0.142664999;0.066223302;0.444048748;0.325830584;0.530068286;0.113481308;0.383480281;0.303770628;0.177560976
0.058475627;0.52261963;0.121108183;0.02980058;0.495113636;0.340597807;0.654945161;0.5733293;0.470115551;0.144470796;0.24195122
0.200496608;0.580278714;0.18097459;0.026454172;0.286376309;0.205725057;0.46008468;0.079224977;0.557354889;0.080284853;0.115121951
0;0.522265409;0.190710508;0.022841601;0.369472567;0.269416256;0.524876602;0.010456856;0.516915678;0.191640433;0.128780488
0.184079945;0.973096379;0.573520105;0.019040245;0.056881262;0.048137615;0.421129288;0.008242884;0.267545034;0.046337886;0.017560976
0.330171504;0.662756035;0.268197462;0.0370261;0.212509533;0.167631356;0.457470723;0.021541759;0.561253523;0.012949512;0.075121951
0.334508905;0.665003488;0.351627691;0.01266629;0.11995303;0.092350879;0.378322307;0.066578623;0.509250387;0.220959596;0.018536585
0.045904892;0.63261943;0.45297532;0.026885569;0.059266471;0.043653074;0.381944524;0.469135889;0.835578624;0.139075627;0.050731707
0.17931278;0.569873994;0.413637602;0.02803191;0.13921168;0.089577046;0.319602127;0.18313245;0.76576106;0.163459751;0.036097561
