Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.222251731;0.791403905;0.328063454;0.046599376;0.462706813;0.287021118;0.432927148;0.098455651;0.480307427;0.295123805;0.352668213
0.090163354;0.658633443;0.194439038;0.025528609;0.48102629;0.291084874;0.631359542;0.480928649;0.442891103;0.127196985;0.452436195
0.250701665;0.741085973;0.305269353;0.023608491;0.280494542;0.186743281;0.457614463;0.070316572;0.592564845;0.102761159;0.218097448
0;0.662305291;0.348443498;0.018686878;0.365247816;0.24179362;0.426792686;0.009210788;0.550421792;0.20774896;0.259860789
0.660728554;0.829797075;0.411849564;0.032310784;0.205322878;0.141336295;0.364229506;0.017247627;0.511149724;0.131374256;0.125290023
0.062551708;0.794715698;0.737364621;0.023002392;0.054856291;0.040736452;0.328698989;0.426143138;0.88138561;0.137180283;0.113689095
0.261906557;0.705284914;0.603828329;0.021912538;0.128878953;0.073682148;0.278183325;0.145762098;0.613965654;0.222402357;0.07424594
0.25306035;0.790079791;0.140063706;0.025041098;0.449647292;0.381985127;0.346805732;0.36401397;0.54000908;0.114357321;0.394431555
0;0.771881201;0.213358952;0.032310784;0.338437452;0.244267354;0.415507317;0.007048815;0.685840934;0.095312033;0.408352668
0;0.880562519;0.559501;0.02245541;0.179822616;0.117923901;0.25568441;0.005930444;0.440132155;0.249602224;0.039443155
0.046025053;0.797516037;0.295199433;0.032310784;0.203594499;0.142850877;0.348460511;0.033157866;0.491858394;0.029446865;0.097447796
0.467151412;0.539655745;0.166352746;0.013891948;0.492316277;0.3605371;0.576517472;0.446978303;0.516711198;0.273420328;0.308584687
0.829944902;0.733187992;0.121947781;0.027794181;0.896664567;0.654289819;0.688655667;0.148547623;0.582085526;0.166633179;0.204176334
0.015818677;0.689799605;0.741193018;0.030190052;0.176436444;0.173134568;0.34592533;0.004549747;0.835521461;0.081331032;0.064965197
0.231311096;0.783808602;0.322191021;0.057396994;0.476724519;0.357352858;0.454397631;0.123985411;0.467856347;0.45772401;0.436194896
0.105719219;0.648518636;0.201083449;0.027769651;0.500529072;0.349832132;0.627906786;0.581808973;0.477089567;0.17341184;0.542923434
0.361310739;0.724629092;0.294388402;0.025421005;0.286317003;0.216789051;0.438080616;0.082235595;0.539316924;0.151659293;0.278422274
0;0.649592892;0.307135942;0.020821627;0.377539861;0.273391583;0.452529897;0.010624222;0.584384091;0.225665867;0.334106729
0.720385152;0.820013129;0.394682394;0.036784961;0.214782146;0.168320629;0.394301986;0.021219869;0.550633028;0.273540425;0.167053364
0.096618783;0.784299987;0.739161691;0.025117224;0.055727188;0.039555462;0.351241883;0.419144154;0.854438722;0.181618;0.106728538
0.353652585;0.700067888;0.637507258;0.025889609;0.134833204;0.085837759;0.280760067;0.173073961;0.681686059;0.358530826;0.081206497
0.293759445;0.776737896;0.139124465;0.026586762;0.448039205;0.396796432;0.357609067;0.384884306;0.570095512;0.121932021;0.412993039
0;0.768438113;0.197861666;0.034742976;0.365180631;0.283409416;0.402378229;0.008317461;0.776473081;0.148698407;0.510440835
0;0.867020102;0.603218582;0.025200529;0.188894908;0.160353891;0.247640134;0.008267486;0.465811171;0.241488242;0.055684455
0.07250343;0.789596132;0.315235039;0.032667261;0.220392276;0.167195489;0.34565522;0.039477433;0.576548212;0.021794159;0.120649652
0.529572477;0.532209935;0.165227535;0.016394377;0.518144243;0.460919679;0.594283468;0.56778287;0.548587343;0.355839676;0.361948956
1;0.705530654;0.101992173;0.032710915;0.92679869;0.795380155;0.590073211;0.186040017;0.561219757;0.349444864;0.252900232
0.007789314;0.680167946;0.739313358;0.03092145;0.183580159;0.162977538;0.370271503;0.004168388;0.804993283;0.047857032;0.064965197
